id,country_id/id,name,code
base.res_country_state_124,base.th,จ.อำนาจเจริญ,37
base.res_country_state_123,base.th,จ.อ่างทอง,15
base.res_country_state_85,base.th,จ.พระนครศรีอยุธยา,14
base.res_country_state_52,base.th,กรุงเทพมหานคร,10
base.res_country_state_78,base.th,จ.บึงกาฬ,38
base.res_country_state_79,base.th,จ.บุรีรัมย์,31
base.res_country_state_60,base.th,จ.ชลบุรี,20
base.res_country_state_59,base.th,จ.ฉะเชิงเทรา,24
base.res_country_state_65,base.th,จ.เชียงใหม่,50
base.res_country_state_61,base.th,จ.ชัยนาท,18
base.res_country_state_62,base.th,จ.ชัยภูมิ,36
base.res_country_state_63,base.th,จ.ชุมพร,86
base.res_country_state_64,base.th,จ.เชียงราย,57
base.res_country_state_58,base.th,จ.จันทบุรี,22
base.res_country_state_53,base.th,จ.กระบี่,81
base.res_country_state_57,base.th,จ.ขอนแก่น,40
base.res_country_state_56,base.th,จ.กำแพงเพชร,62
base.res_country_state_54,base.th,จ.กาญจนบุรี,71
base.res_country_state_55,base.th,จ.กาฬสินธุ์,46
base.res_country_state_106,base.th,จ.เลย,42
base.res_country_state_104,base.th,จ.ลำปาง,52
base.res_country_state_105,base.th,จ.ลำพูน,51
base.res_country_state_103,base.th,จ.ลพบุรี,16
base.res_country_state_95,base.th,จ.มุกดาหาร,49
base.res_country_state_94,base.th,จ.มหาสารคาม,44
base.res_country_state_96,base.th,จ.แม่ฮ่องสอน,58
base.res_country_state_77,base.th,จ.น่าน,55
base.res_country_state_75,base.th,จ.นนทบุรี,12
base.res_country_state_122,base.th,จ.หนองบัวลำภู,39
base.res_country_state_121,base.th,จ.หนองคาย,43
base.res_country_state_72,base.th,จ.นครราชสีมา,30
base.res_country_state_71,base.th,จ.นครพนม,48
base.res_country_state_70,base.th,จ.นครปฐม,73
base.res_country_state_73,base.th,จ.นครศรีธรรมราช,80
base.res_country_state_74,base.th,จ.นครสวรรค์,60
base.res_country_state_76,base.th,จ.นราธิวาส,96
base.res_country_state_69,base.th,จ.นครนายก,26
base.res_country_state_90,base.th,จ.เพชรบุรี,76
base.res_country_state_88,base.th,จ.พิจิตร,66
base.res_country_state_81,base.th,จ.ประจวบคีรีขันธ์,77
base.res_country_state_93,base.th,จ.ภูเก็ต,83
base.res_country_state_87,base.th,จ.พัทลุง,93
base.res_country_state_89,base.th,จ.พิษณุโลก,65
base.res_country_state_86,base.th,จ.พังงา,82
base.res_country_state_91,base.th,จ.เพชรบูรณ์,67
base.res_country_state_92,base.th,จ.แพร่,54
base.res_country_state_82,base.th,จ.ปราจีนบุรี,25
base.res_country_state_80,base.th,จ.ปทุมธานี,13
base.res_country_state_83,base.th,จ.ปัตตานี,94
base.res_country_state_84,base.th,จ.พะเยา,56
base.res_country_state_102,base.th,จ.ราชบุรี,70
base.res_country_state_99,base.th,จ.ร้อยเอ็ด,45
base.res_country_state_100,base.th,จ.ระนอง,85
base.res_country_state_101,base.th,จ.ระยอง,21
base.res_country_state_116,base.th,จ.สิงห์บุรี,17
base.res_country_state_109,base.th,จ.สงขลา,90
base.res_country_state_112,base.th,จ.สมุทรสงคราม,75
base.res_country_state_113,base.th,จ.สมุทรสาคร,74
base.res_country_state_114,base.th,จ.สระแก้ว,27
base.res_country_state_119,base.th,จ.สุราษฎร์ธานี,84
base.res_country_state_108,base.th,จ.สกลนคร,47
base.res_country_state_118,base.th,จ.สุพรรณบุรี,72
base.res_country_state_111,base.th,จ.สมุทรปราการ,11
base.res_country_state_115,base.th,จ.สระบุรี,19
base.res_country_state_120,base.th,จ.สุรินทร์,32
base.res_country_state_107,base.th,จ.ศรีสะเกษ,33
base.res_country_state_117,base.th,จ.สุโขทัย,64
base.res_country_state_110,base.th,จ.สตูล,91
base.res_country_state_68,base.th,จ.ตาก,63
base.res_country_state_66,base.th,จ.ตรัง,92
base.res_country_state_67,base.th,จ.ตราด,23
base.res_country_state_128,base.th,จ.อุบลราชธานี,34
base.res_country_state_125,base.th,จ.อุดรธานี,41
base.res_country_state_127,base.th,จ.อุทัยธานี,61
base.res_country_state_126,base.th,จ.อุตรดิตถ์,53
base.res_country_state_98,base.th,จ.ยะลา,95
base.res_country_state_97,base.th,จ.ยโสธร,35
