id,code,name,res_project_state
myproject_status_1,1,โครงการรอโอนไป PABI,draft
myproject_status_10,10,โครงการได้รับจัดสรร,approve
myproject_status_20,20,ยกเลิกโครงการ,delete
myproject_status_30,30,ติดตามรายงานความก้าวหน้า,approve
myproject_status_31,31,ส่งรายงานความก้าวหน้า,approve
myproject_status_32,32,กำลังพิจารณารายงานความก้าวหน้า,approve
myproject_status_33,33,ขอข้อมูลเพิ่มเติมรายงานความก้าวหน้า,approve
myproject_status_40,40,ดำเนินโครงการ (ongoing Project),approve
myproject_status_50,50,ขอปรับแผน,approve
myproject_status_51,51,กำลังพิจารณาขอปรับแผน,approve
myproject_status_52,52,ขอข้อมูลเพิ่มเติมปรับแผน,approve
myproject_status_60,60,ติดตามรายงานฉบับสมบูรณ์,approve
myproject_status_61,61,ส่งรายงานฉบับสมบูรณ์,approve
myproject_status_62,62,กำลังพิจารณารายงานฉบับสมบูรณ์,approve
myproject_status_63,63,เสร็จสิ้นการประเมินรายงานฉบับสมบูรณ์,approve
myproject_status_64,64,ขอข้อมูลเพิ่มเติมรายงานฉบับสมบูรณ์,approve
myproject_status_70,70,ยุติโครงการ,cancel
myproject_status_71,71,ขอยุติโครงการ,approve
myproject_status_72,72,กำลังพิจารณาขอยุติโครงการ,approve
myproject_status_73,73,ขอข้อมูลเพิ่มเติมยุติโครงการ,approve
myproject_status_74,74,เสร็จสิ้นการประเมินการขอยุติโครงการ,approve
myproject_status_75,75,ยุติโครงการแต่รอเบิกจ่าย,approve
myproject_status_100,100,รายงานฉบับสมบูรณ์ผ่านการประเมิน,approve
myproject_status_101,101,รอปิดโครงการ,approve
myproject_status_102,102,ปิดโครงการแบบมีเงื่อนไข,close
myproject_status_103,103,ปิดโครงการโดยสมบูรณ์,close
