id,name,usage,location_id/id,operating_unit_id
__export__.stock_location_170,ศจ.,View,stock.stock_location_locations,
__export__.stock_location_171,Stock,Internal Location,__export__.stock_location_170,ศจ.
__export__.stock_location_198,ค. วัสดุ,Internal Location,__export__.stock_location_171,ศจ.
__export__.stock_location_203,ค. NN NSTDA,Internal Location,__export__.stock_location_171,ศจ.
__export__.stock_location_152,ศช.,View,stock.stock_location_locations,
__export__.stock_location_153,Stock,Internal Location,__export__.stock_location_152,ศช.
__export__.stock_location_199,ค. วัสดุ,Internal Location,__export__.stock_location_153,ศช.
__export__.stock_location_176,ศน.,View,stock.stock_location_locations,
__export__.stock_location_177,Stock,Internal Location,__export__.stock_location_176,ศน.
__export__.stock_location_200,ค. วัสดุ,Internal Location,__export__.stock_location_177,ศน.
__export__.stock_location_158,ศว.,View,stock.stock_location_locations,
__export__.stock_location_159,Stock,Internal Location,__export__.stock_location_158,ศว.
__export__.stock_location_201,ค. วัสดุ,Internal Location,__export__.stock_location_159,ศว.
__export__.stock_location_164,ศอ.,View,stock.stock_location_locations,
__export__.stock_location_165,Stock,Internal Location,__export__.stock_location_164,ศอ.
__export__.stock_location_210,ค. วัสดุ,Internal Location,__export__.stock_location_165,ศอ.
__export__.stock_location_11,สก.,View,stock.stock_location_locations,
stock.stock_location_stock,Stock,Internal Location,__export__.stock_location_11,สก.
__export__.stock_location_197,ค. วัสดุ,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_208,ค. หนังสือ-สก.,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_204,ค. หนังสือใต้ดิน,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_206,ค. หนังสือ CC,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_202,ค. งาน Event,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_196,ค. NN NTSDA,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_207,ค. กลาง PMM,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_205,ค. หนังสือ Scicamp,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_209,ค. Science Shop,Internal Location,stock.stock_location_stock,สก.
__export__.stock_location_211,เบิกจ่ายสินค้า,Inventory,stock.stock_location_locations_virtual,
